movie_title,content_rating,runtime,production_company,audience_rating
Black Sheep(2006),R,86,IFC Films,53
Black Snake Moan,R,118,Paramount,69
Black Swan,R,108,20thCenturyFox,84
Blackfish,PG-13,83,Magnolia Pictures,90
Blade,R,120,New Line Cinema,78
Blade II,R,116,New Line Cinema,68
Blade Runner,R,122,Warner Bros.,91
Blade Runner 2049,R,164,Warner Bros.,81
Blade: Trinity,R,114,New Line Cinema,59
Blades of Glory,PG-13,93,Paramount,68
Blank Check,PG,93,Buena Vista,34
Blankman,PG-13,92,Sony,40
Blast From the Past,PG-13,111,New Line Cinema,56
Blazing Saddles,R,93,Warner Bros.,91
Blended,PG-13,117,Warner Bros.,64
Bless the Child,R,107,Paramount,43
Blindness,R,120,Miramax Films,47
Blood Diamond,R,138,Warner Bros.,90
Blood Simple,R,97,USA Films,88
Blood and Chocolate,PG-13,98,MGM,52
Blood: The Last Vampire,R,89,Samuel Goldwyn Films,33
Bloodsport,R,92,Warner Bros.,74
Blow,R,124,New Line Cinema,87
Blow-Up,NR,111,MGM,84
Blown Away,R,121,MGM,40
Blue Collar Comedy Tour: The Movie,PG-13,105,Warner Bros.,79
Blue Crush,PG-13,104,Universal Pictures,58
Blue Jasmine,PG-13,98,Sony,77
Blue Streak,PG-13,94,Sony,65
Blue Valentine,R,120,The Weinstein Company,77
Blue Velvet,R,120,MGM,88
Blues Brothers 2000,PG-13,123,Universal Pictures,37
Boat Trip,R,94,Artisan,36
Bobby,R,119,The Weinstein Company,72
Body of Lies,R,128,Warner Bros.,62
Boiler Room,R,120,New Line Cinema,78
Bolt,PG,96,Disney,74
Bonnie and Clyde,R,111,Warner Bros.,88
Boogeyman,R,86,Screen Gems,21
Boogie Nights,R,152,New Line Cinema,89
Book of Shadows - Blair Witch 2,R,90,Artisan,18
Boomerang,R,118,Paramount,59
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,84,20thCenturyFox,79
Born on the Fourth of July,R,144,Universal Pictures,76
Bottle Rocket,R,91,Columbia Pictures,80
Bowfinger,PG-13,97,Universal Pictures,61
Bowling for Columbine,R,120,United Artists Pictures,83
Boy A,R,99,The Weinstein Company,87
Boyhood,R,165,IFC Films,81
Boys Don't Cry,R,119,20thCenturyFox,87
Boys and Girls,PG-13,94,Miramax Films,50
Boys on the Side,R,117,Warner Bros.,69
Boyz n the Hood,R,112,Columbia Pictures,93
Bratz: The Movie,PG,110,Lionsgate Films,46
Brave,PG,93,Disney,75
Braveheart,R,177,Paramount,85
Breach,PG-13,110,Universal Pictures,67
Breakdown,R,93,Paramount,67
Breakfast at Tiffany's,NR,115,Paramount,91
Breakfast on Pluto,R,135,Sony,80
Breaking and Entering,R,119,The Weinstein Company,52
Breaking the Waves,R,159,Artisan,91
Breathless,R,90,Rialto Pictures,90
Brewster's Millions,PG,97,MCA Universal Home Video,55
Brick,R,109,Focus Features,86
Brick Lane,PG-13,101,Sony,60
Brick Mansions,PG-13,90,Relativity Media,47
Bride Wars,PG,90,20thCenturyFox,51
Bride and Prejudice,PG-13,110,Miramax Films,70
Bride of Chucky,R,89,Universal Pictures,46
Bridesmaids,R,125,Universal Pictures,76
Bridge of Spies,PG-13,141,Dreamworks,87
Bridge to Terabithia,PG,96,Buena Vista,70
Bridget Jones's Diary,R,92,Miramax Films,81
Bridget Jones: The Edge of Reason,R,106,Miramax Films,60
Bring It On,PG-13,98,Universal Pictures,66
Bring It On: All or Nothing,PG-13,99,Universal Pictures,70
Bringing Down the House,PG-13,105,Touchstone Pictures,49
Bringing Out the Dead,R,122,Paramount,70
Bringing Up Baby,NR,102,Turner Entertainment,89
Brokeback Mountain,R,134,Focus Features,82
Brokedown Palace,PG-13,100,20thCenturyFox,66
Broken Arrow,R,108,20thCenturyFox,44
Broken City,R,108,20thCenturyFox,40
Broken Flowers,R,107,Focus Features,70
Brooklyn,PG-13,112,20thCenturyFox,87
Brooklyn's Finest,R,125,Overture Films,46
Brother Bear,G,85,Buena Vista,65
Brothers,R,104,Lionsgate Films,62
Brown Sugar,PG-13,109,20thCenturyFox,90
Bruce Almighty,PG-13,101,Universal Pictures,57
Bruno,R,82,Universal Pictures,41
Bubble Boy,PG-13,84,Touchstone Pictures,48
Buffalo '66,R,112,Lionsgate Films,88
Buffy the Vampire Slayer,PG-13,86,20thCenturyFox,43
Bug,R,102,Lionsgate Films,34
Bull Durham,R,108,Orion Pictures Corporation,82
Bullet to the Head,R,91,Warner Bros.,39
Bulletproof,R,84,MCA Universal Home Video,44
Bulletproof Monk,PG-13,104,MGM,38
Bullitt,PG,113,Warner Bros.,85
Bully,PG-13,99,The Weinstein Company,78
Buried,R,94,Lionsgate Films,65
Burlesque,PG-13,116,Sony,64
Burn After Reading,R,95,Focus Features,65
